Index of difficulty (bits),Response time (ms),Target size (px),Target distance (px),Start time (s),End time (s),Target position X (px),Target position Y (px)
5.03121873061072,777,20,327,27.47726130002411,28.254260100016836,1,327
5.03121873061072,1117,20,327,28.752101199992467,29.869126000034157,-231,-231
5.03121873061072,677,20,327,30.276442600006703,30.953259400033858,232,232
5.03121873061072,794,20,327,31.401128700003028,32.19469020003453,-231,232
5.03121873061072,1272,20,327,32.596091800020076,33.86818580003455,-327,1
5.03121873061072,1366,20,327,34.357100400025956,35.72333720000461,0,-327
5.03121873061072,930,20,327,36.198094799998216,37.12835990003077,327,0
5.03121873061072,980,20,327,37.47012260003248,38.450196199992206,232,-231
3.4418375586225594,795,30,163,38.84519230003934,39.64015630003996,1,163
3.4418375586225594,522,30,163,39.95311669999501,40.47510209999746,-115,116
3.4418375586225594,649,30,163,40.781423899985384,41.430198699992616,163,0
3.4418375586225594,702,30,163,41.67609480000101,42.37822170002619,116,-115
3.4418375586225594,661,30,163,43.16521529998863,43.82612550002523,-115,-115
3.4418375586225594,591,30,163,44.160151200019754,44.75073939998401,-163,1
3.4418375586225594,610,30,163,45.03452260000631,45.644179599999916,0,-163
3.4418375586225594,772,30,163,45.87117769999895,46.64345110004069,116,116
5.029747343394052,806,30,490,46.8911070000031,47.69724240002688,-346,-346
5.029747343394052,923,30,490,47.97612740000477,48.89921840000898,347,-346
5.029747343394052,744,30,490,49.17116289999103,49.915184399986174,-490,1
5.029747343394052,636,30,490,50.188170100038406,50.82425659999717,1,490
5.029747343394052,827,30,490,51.11414570000488,51.94127390003996,490,0
5.029747343394052,870,30,490,52.25618219998432,53.126293700013775,-346,347
5.029747343394052,942,30,490,53.41117400000803,54.353265000041574,347,347
5.029747343394052,906,30,490,54.667208300030325,55.573285899998154,0,-490
4.614709844115208,928,40,490,55.7841185000143,56.71219160000328,347,-346
4.614709844115208,789,40,490,56.97620319999987,57.765169200021774,347,347
4.614709844115208,919,40,490,58.01212900003884,58.93115200003376,-346,-346
4.614709844115208,776,40,490,59.25513130001491,60.03120349999517,1,490
4.614709844115208,805,40,490,60.79331410001032,61.59823609999148,-490,1
4.614709844115208,575,40,490,61.87822880002204,62.45318120002048,490,0
4.614709844115208,591,40,490,62.728234499983955,63.319196600001305,-346,347
4.614709844115208,626,40,490,63.58227529999567,64.20826220000163,0,-490
4.446256229889564,545,30,327,64.48326010000892,65.02825040003518,232,232
4.446256229889564,1034,30,327,65.30927740002517,66.343708600034,232,-231
4.446256229889564,851,30,327,66.5481957999873,67.39927100000205,327,0
4.446256229889564,571,30,327,67.71623550000368,68.28723250003532,-231,232
4.446256229889564,606,30,327,68.59730010002386,69.2032712000073,1,327
4.446256229889564,778,30,327,69.45917769998778,70.23743129998911,-327,1
4.446256229889564,723,30,327,70.48519060004037,71.20828270004131,0,-327
4.446256229889564,846,30,327,71.43327209999552,72.27948760002619,-231,-231
5.614709844115208,787,20,490,72.50824090000242,73.29526019998593,0,-490
5.614709844115208,1513,20,490,73.51924029999645,75.03177609998966,-346,347
5.614709844115208,854,20,490,75.35021390003385,76.20436909998534,347,-346
5.614709844115208,1054,20,490,76.53041529998882,77.58430400001816,490,0
5.614709844115208,573,20,490,77.87335680000251,78.44634990004124,-346,-346
5.614709844115208,786,20,490,78.74138970003696,79.5272651000414,-490,1
5.614709844115208,897,20,490,79.84025750000728,80.73737400001846,347,347
5.614709844115208,955,20,490,81.58328570000594,82.53829930000938,1,490
6.03121873061072,1024,10,327,82.97067629999947,83.9943978000083,-231,232
6.03121873061072,1052,10,327,84.34132629999658,85.3934252000181,-327,1
6.03121873061072,856,10,327,85.93669410003349,86.79233010002645,-231,-231
6.03121873061072,3289,10,327,87.39526950003346,90.68437790003372,0,-327
6.03121873061072,726,10,327,90.98852740001166,91.7143703000038,232,-231
6.03121873061072,1338,10,327,92.04227040003752,93.38036220002687,327,0
6.03121873061072,908,10,327,93.65127570001641,94.55940600001486,1,327
6.03121873061072,2208,10,327,95.06131160003133,97.26941080001416,232,232
3.0268000593437154,505,40,163,97.65134000004036,98.15635330002988,116,-115
3.0268000593437154,595,40,163,98.36730430001626,98.9623040999868,116,116
3.0268000593437154,832,40,163,99.18829449999612,100.02030110004125,163,0
3.0268000593437154,565,40,163,100.25952720001806,100.82435920002172,0,-163
3.0268000593437154,670,40,163,101.1322785000084,101.80244860000676,-115,-115
3.0268000593437154,546,40,163,102.03637190000154,102.58240230003139,-163,1
3.0268000593437154,589,40,163,102.88142119999975,103.47047790000215,1,163
3.0268000593437154,484,40,163,103.96338460000698,104.44741230004001,-115,116
4.03121873061072,800,40,327,104.77344690001337,105.57348479999928,232,-231
4.03121873061072,896,40,327,105.87732820003293,106.77346460003173,232,232
4.03121873061072,795,40,327,107.19670130003942,107.99137010000413,327,0
4.03121873061072,547,40,327,108.27528980001807,108.82237840001471,1,327
4.03121873061072,932,40,327,109.31135080003878,110.24357470002724,-231,232
4.03121873061072,761,40,327,110.51241700001992,111.27359270001762,-231,-231
4.03121873061072,665,40,327,111.59734530001879,112.26239580003312,-327,1
4.03121873061072,1044,40,327,112.62135910004145,113.66552450001473,0,-327
4.026800059343715,567,20,163,114.06429629999911,114.63146539998706,0,-163
4.026800059343715,626,20,163,114.88242010003887,115.50837090000277,-163,1
4.026800059343715,890,20,163,115.98766819998855,116.87749879999319,1,163
4.026800059343715,584,20,163,117.35638150002342,117.94063170003938,116,-115
4.026800059343715,747,20,163,118.40539720002562,119.15282100002514,-115,-115
4.026800059343715,1082,20,163,119.44040540000424,120.52252840000438,116,116
4.026800059343715,812,20,163,120.85146500001429,121.66343010001583,163,0
4.026800059343715,709,20,163,122.19538170000305,122.90467760001775,-115,116
5.026800059343715,832,10,163,123.31352379999589,124.14549389999593,116,-115
5.026800059343715,1041,10,163,124.38238680001814,125.42358330002753,0,-163
5.026800059343715,842,10,163,125.8423657999956,126.68445500003872,116,116
5.026800059343715,1031,10,163,127.23349000001326,128.26450099999784,-115,-115
5.026800059343715,1224,10,163,128.55345810001018,129.77742880000733,-115,116
5.026800059343715,1389,10,163,130.16640819999157,131.55552350002108,163,0
5.026800059343715,1255,10,163,132.02241770003457,133.27691980003146,-163,1
5.026800059343715,708,10,163,133.5784527999931,134.286632000003,1,163
6.614709844115209,1418,10,490,134.58356540004024,136.00155739998445,0,-490
6.614709844115209,1043,10,490,136.35647860000608,137.39955900004134,1,490
6.614709844115209,1089,10,490,137.71843680000165,138.8075467000017,-346,-346
6.614709844115209,2360,10,490,139.14145180000924,141.50160840002354,-346,347
6.614709844115209,1128,10,490,141.8744577000034,143.00257790001342,347,347
6.614709844115209,1127,10,490,143.4424742999836,144.56961350003257,347,-346
6.614709844115209,1363,10,490,145.05147549998946,146.41462570003932,490,0
6.614709844115209,1015,10,490,146.68749340000795,147.70257920003496,-490,1

